logID,DATE,LOCAL,NAME,DESC,VAL,QF,SOURCE
13805,3/28/22 12:41,N,CPU_USE,,77.8626,0x00001000,PLC
13808,3/28/22 12:41,N,FAIL_CONF,,0.0,0x00001000,PLC
13809,3/28/22 12:41,N,FAIL_RTU,,0.0,0x00001000,PLC
13806,3/28/22 12:41,N,MEM_USE,,62.6612,0x00001000,PLC
13804,3/28/22 12:41,N,PS1_V,,5.38353,0x00001000,PLC
13810,3/28/22 12:41,N,RTU_HEALTH,,3.0,0x00001000,PLC
13807,3/28/22 12:41,N,TEMP,,31.125,0x00001000,PLC
13791,3/28/22 12:21,N,CPU_USE,,76.6798,0x00001000,PLC
13798,3/28/22 12:21,N,CPU_USE,,77.7382,0x00001000,PLC
13794,3/28/22 12:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13801,3/28/22 12:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13795,3/28/22 12:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13802,3/28/22 12:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13792,3/28/22 12:21,N,MEM_USE,,62.6854,0x00001000,PLC
13799,3/28/22 12:21,N,MEM_USE,,62.6848,0x00001000,PLC
13790,3/28/22 12:21,N,PS1_V,,5.38353,0x00001000,PLC
13797,3/28/22 12:21,N,PS1_V,,5.38453,0x00001000,PLC
13796,3/28/22 12:21,N,RTU_HEALTH,,1.0,0x00001000,PLC
13803,3/28/22 12:21,N,RTU_HEALTH,,3.0,0x00001000,PLC
13793,3/28/22 12:21,N,TEMP,,31.187,0x00001000,PLC
13800,3/28/22 12:21,N,TEMP,,31.188,0x00001000,PLC
13784,3/28/22 12:01,N,CPU_USE,,77.3428,0x00001000,PLC
13787,3/28/22 12:01,N,FAIL_CONF,,0.0,0x00001000,PLC
13788,3/28/22 12:01,N,FAIL_RTU,,0.0,0x00001000,PLC
13785,3/28/22 12:01,N,MEM_USE,,62.6844,0x00001000,PLC
13783,3/28/22 12:01,N,PS1_V,,5.40841,0x00001000,PLC
13789,3/28/22 12:01,N,RTU_HEALTH,,3.0,0x00001000,PLC
13786,3/28/22 12:01,N,TEMP,,31.124,0x00001000,PLC
13777,3/28/22 11:41,N,CPU_USE,,77.8626,0x00001000,PLC
13780,3/28/22 11:41,N,FAIL_CONF,,0.0,0x00001000,PLC
13781,3/28/22 11:41,N,FAIL_RTU,,0.0,0x00001000,PLC
13778,3/28/22 11:41,N,MEM_USE,,62.6628,0x00001000,PLC
13776,3/28/22 11:41,N,PS1_V,,5.38353,0x00001000,PLC
13782,3/28/22 11:41,N,RTU_HEALTH,,3.0,0x00001000,PLC
13779,3/28/22 11:41,N,TEMP,,31.0,0x00001000,PLC
13770,3/28/22 11:21,N,CPU_USE,,77.0125,0x00001000,PLC
13773,3/28/22 11:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13774,3/28/22 11:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13771,3/28/22 11:21,N,MEM_USE,,71.022,0x00001000,PLC
13769,3/28/22 11:21,N,PS1_V,,5.38453,0x00001000,PLC
13775,3/28/22 11:21,N,RTU_HEALTH,,3.0,0x00001000,PLC
13772,3/28/22 11:21,N,TEMP,,31.126,0x00001000,PLC
13763,3/28/22 11:21,N,CPU_USE,,77.1863,0x00001000,PLC
13766,3/28/22 11:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13767,3/28/22 11:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13764,3/28/22 11:21,N,MEM_USE,,71.0436,0x00001000,PLC
13762,3/28/22 11:21,N,PS1_V,,5.38353,0x00001000,PLC
13768,3/28/22 11:21,N,RTU_HEALTH,,3.0,0x00001000,PLC
13765,3/28/22 11:21,N,TEMP,,31.125,0x00001000,PLC
13756,3/28/22 11:01,N,CPU_USE,,77.2717,0x00001000,PLC
13759,3/28/22 11:01,N,FAIL_CONF,,0.0,0x00001000,PLC
13760,3/28/22 11:01,N,FAIL_RTU,,0.0,0x00001000,PLC
13757,3/28/22 11:01,N,MEM_USE,,71.0426,0x00001000,PLC
13755,3/28/22 11:01,N,PS1_V,,5.40841,0x00001000,PLC
13761,3/28/22 11:01,N,RTU_HEALTH,,2.0,0x00001000,PLC
13758,3/28/22 11:01,N,TEMP,,30.936,0x00001000,PLC
13749,3/28/22 10:41,N,CPU_USE,,76.834,0x00001000,PLC
13752,3/28/22 10:41,N,FAIL_CONF,,0.0,0x00001000,PLC
13753,3/28/22 10:41,N,FAIL_RTU,,0.0,0x00001000,PLC
13750,3/28/22 10:41,N,MEM_USE,,71.0694,0x00001000,PLC
13748,3/28/22 10:41,N,PS1_V,,5.40941,0x00001000,PLC
13754,3/28/22 10:41,N,RTU_HEALTH,,3.0,0x00001000,PLC
13751,3/28/22 10:41,N,TEMP,,30.875,0x00001000,PLC
13735,3/28/22 10:21,N,CPU_USE,,76.7176,0x00001000,PLC
13742,3/28/22 10:21,N,CPU_USE,,76.3168,0x00001000,PLC
13738,3/28/22 10:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13745,3/28/22 10:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13739,3/28/22 10:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13746,3/28/22 10:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13736,3/28/22 10:21,N,MEM_USE,,71.0436,0x00001000,PLC
13743,3/28/22 10:21,N,MEM_USE,,71.0462,0x00001000,PLC
13734,3/28/22 10:21,N,PS1_V,,5.38353,0x00001000,PLC
13741,3/28/22 10:21,N,PS1_V,,5.38453,0x00001000,PLC
13740,3/28/22 10:21,N,RTU_HEALTH,,3.0,0x00001000,PLC
13747,3/28/22 10:21,N,RTU_HEALTH,,3.0,0x00001000,PLC
13737,3/28/22 10:21,N,TEMP,,30.875,0x00001000,PLC
13744,3/28/22 10:21,N,TEMP,,30.876,0x00001000,PLC
13728,3/28/22 10:01,N,CPU_USE,,77.2539,0x00001000,PLC
13731,3/28/22 10:01,N,FAIL_CONF,,0.0,0x00001000,PLC
13732,3/28/22 10:01,N,FAIL_RTU,,0.0,0x00001000,PLC
13729,3/28/22 10:01,N,MEM_USE,,71.0442,0x00001000,PLC
13727,3/28/22 10:01,N,PS1_V,,5.38253,0x00001000,PLC
13733,3/28/22 10:01,N,RTU_HEALTH,,3.0,0x00001000,PLC
13730,3/28/22 10:01,N,TEMP,,30.874,0x00001000,PLC
13721,3/28/22 9:41,N,CPU_USE,,77.0677,0x00001000,PLC
13724,3/28/22 9:41,N,FAIL_CONF,,0.0,0x00001000,PLC
13725,3/28/22 9:41,N,FAIL_RTU,,0.0,0x00001000,PLC
13722,3/28/22 9:41,N,MEM_USE,,71.0678,0x00001000,PLC
13720,3/28/22 9:41,N,PS1_V,,5.38353,0x00001000,PLC
13726,3/28/22 9:41,N,RTU_HEALTH,,3.0,0x00001000,PLC
13723,3/28/22 9:41,N,TEMP,,30.937,0x00001000,PLC
13707,3/28/22 9:21,N,CPU_USE,,76.0784,0x00001000,PLC
13714,3/28/22 9:21,N,CPU_USE,,76.0794,0x00001000,PLC
13710,3/28/22 9:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13717,3/28/22 9:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13711,3/28/22 9:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13718,3/28/22 9:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13708,3/28/22 9:21,N,MEM_USE,,71.0421,0x00001000,PLC
13715,3/28/22 9:21,N,MEM_USE,,71.0431,0x00001000,PLC
13706,3/28/22 9:21,N,PS1_V,,5.40941,0x00001000,PLC
13713,3/28/22 9:21,N,PS1_V,,5.41041,0x00001000,PLC
13712,3/28/22 9:21,N,RTU_HEALTH,,3.0,0x00001000,PLC
13719,3/28/22 9:21,N,RTU_HEALTH,,3.0,0x00001000,PLC
13709,3/28/22 9:21,N,TEMP,,31.187,0x00001000,PLC
13716,3/28/22 9:21,N,TEMP,,31.188,0x00001000,PLC
13700,3/28/22 9:01,N,CPU_USE,,77.6882,0x00001000,PLC
13703,3/28/22 9:01,N,FAIL_CONF,,0.0,0x00001000,PLC
13704,3/28/22 9:01,N,FAIL_RTU,,0.0,0x00001000,PLC
13701,3/28/22 9:01,N,MEM_USE,,71.0215,0x00001000,PLC
13699,3/28/22 9:01,N,PS1_V,,5.38253,0x00001000,PLC
13705,3/28/22 9:01,N,RTU_HEALTH,,3.0,0x00001000,PLC
13702,3/28/22 9:01,N,TEMP,,31.874,0x00001000,PLC
13693,3/28/22 8:41,N,CPU_USE,,77.5591,0x00001000,PLC
13696,3/28/22 8:41,N,FAIL_CONF,,0.0,0x00001000,PLC
13697,3/28/22 8:41,N,FAIL_RTU,,0.0,0x00001000,PLC
13694,3/28/22 8:41,N,MEM_USE,,71.0178,0x00001000,PLC
13692,3/28/22 8:41,N,PS1_V,,5.38353,0x00001000,PLC
13698,3/28/22 8:41,N,RTU_HEALTH,,3.0,0x00001000,PLC
13695,3/28/22 8:41,N,TEMP,,32.125,0x00001000,PLC
13679,3/28/22 8:21,N,CPU_USE,,74.7036,0x00001000,PLC
13686,3/28/22 8:21,N,CPU_USE,,76.5883,0x00001000,PLC
13682,3/28/22 8:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13689,3/28/22 8:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13683,3/28/22 8:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13690,3/28/22 8:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13680,3/28/22 8:21,N,MEM_USE,,63.8741,0x00001000,PLC
13687,3/28/22 8:21,N,MEM_USE,,63.8751,0x00001000,PLC
13678,3/28/22 8:21,N,PS1_V,,5.38353,0x00001000,PLC
13685,3/28/22 8:21,N,PS1_V,,5.38453,0x00001000,PLC
13684,3/28/22 8:21,N,RTU_HEALTH,,3.0,0x00001000,PLC
13691,3/28/22 8:21,N,RTU_HEALTH,,3.0,0x00001000,PLC
13681,3/28/22 8:21,N,TEMP,,32.062,0x00001000,PLC
13688,3/28/22 8:21,N,TEMP,,32.063,0x00001000,PLC
13672,3/28/22 8:01,N,CPU_USE,,74.6022,0x00001000,PLC
13675,3/28/22 8:01,N,FAIL_CONF,,0.0,0x00001000,PLC
13676,3/28/22 8:01,N,FAIL_RTU,,0.0,0x00001000,PLC
13673,3/28/22 8:01,N,MEM_USE,,63.8457,0x00001000,PLC
13671,3/28/22 8:01,N,PS1_V,,5.38253,0x00001000,PLC
13677,3/28/22 8:01,N,RTU_HEALTH,,3.0,0x00001000,PLC
13674,3/28/22 8:01,N,TEMP,,31.874,0x00001000,PLC
13665,3/28/22 7:41,N,CPU_USE,,76.9231,0x00001000,PLC
13668,3/28/22 7:41,N,FAIL_CONF,,0.0,0x00001000,PLC
13669,3/28/22 7:41,N,FAIL_RTU,,0.0,0x00001000,PLC
13666,3/28/22 7:41,N,MEM_USE,,63.8467,0x00001000,PLC
13664,3/28/22 7:41,N,PS1_V,,5.35765,0x00001000,PLC
13670,3/28/22 7:41,N,RTU_HEALTH,,3.0,0x00001000,PLC
13667,3/28/22 7:41,N,TEMP,,31.875,0x00001000,PLC
13658,3/28/22 7:21,N,CPU_USE,,74.1186,0x00001000,PLC
13661,3/28/22 7:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13662,3/28/22 7:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13659,3/28/22 7:21,N,MEM_USE,,63.8509,0x00001000,PLC
13657,3/28/22 7:21,N,PS1_V,,5.38453,0x00001000,PLC
13663,3/28/22 7:21,N,RTU_HEALTH,,3.0,0x00001000,PLC
13660,3/28/22 7:21,N,TEMP,,31.876,0x00001000,PLC
13651,3/28/22 7:21,N,CPU_USE,,74.1176,0x00001000,PLC
13654,3/28/22 7:21,N,FAIL_CONF,,0.0,0x00001000,PLC
13655,3/28/22 7:21,N,FAIL_RTU,,0.0,0x00001000,PLC
13652,3/28/22 7:21,N,MEM_USE,,63.8499,0x00001000,PLC
13650,3/28/22 7:21,N,PS1_V,,5.38353,0x00001000,PLC
13656,3/28/22 7:21,N,RTU_HEALTH,,3.0,0x00001000,PLC
13653,3/28/22 7:21,N,TEMP,,31.875,0x00001000,PLC
13644,3/28/22 7:01,N,CPU_USE,,75.1898,0x00001000,PLC
13647,3/28/22 7:01,N,FAIL_CONF,,0.0,0x00001000,PLC
13648,3/28/22 7:01,N,FAIL_RTU,,0.0,0x00001000,PLC
13645,3/28/22 7:01,N,MEM_USE,,63.8473,0x00001000,PLC
13643,3/28/22 7:01,N,PS1_V,,5.35665,0x00001000,PLC
13649,3/28/22 7:01,N,RTU_HEALTH,,3.0,0x00001000,PLC
